encoded_key
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
NOOP
NOOP
L
L
L
L
L
NOOP
NOOP
L
L
L
NOOP
NOOP
L
L
NOOP
NOOP
L
L
L
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
NOOP
NOOP
NOOP
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
B
B
B
B
B
B
NOOP
NOOP
NOOP
NOOP
NOOP
B
B
B
B
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
R
BR
BR
BR
BR
BR
BR
BR
R
R
R
R
R
R
R
R
R
R
R
R
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
D
D
D
D
D
D
D
D
BD
BD
BD
D
D
BD
BD
D
D
D
BD
BD
D
D
BD
BD
D
RD
R
R
R
R
R
R
R
R
R
R
R
BR
BR
BR
NOOP
NOOP
B
B
B
B
NOOP
NOOP
B
B
B
NOOP
NOOP
NOOP
B
B
NOOP
NOOP
NOOP
NOOP
NOOP
R
R
R
R
NOOP
NOOP
NOOP
U
U
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
R
R
R
R
R
R
BR
BR
R
R
R
R
R
BR
BR
R
R
R
NOOP
NOOP
NOOP
NOOP
R
R
R
R
NOOP
B
B
B
NOOP
NOOP
NOOP
B
B
NOOP
NOOP
NOOP
B
B
NOOP
NOOP
C
C
C
NOOP
NOOP
NOOP
C
C
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
NOOP
A
A
A
A
A
NOOP
NOOP
NOOP
A
A
A
NOOP
NOOP
A
A
A
NOOP
NOOP
A
A
A
NOOP
NOOP
A
A
NOOP
NOOP
NOOP
D
D
D
D
D
D
AD
AD
D
D
D
AD
AD
D
D
D
AD
D
D
D
D
AD
AD
D
D
D
AD
AD
NOOP
